Total details with discrepancy/damage for session d1d3b0cd-08e4-4bae-af6d-6afa729b78cd: 288
  1: I100275 | Trứng vịt muối                 | HT: -295     | TT: 417      | Huy: 0        | Lệch: -712     | Ghi chú: "Điều chỉnh tăng từ Excel"
  2: I100260 | Đậu hủ miếng trắng             | HT: -238     | TT: 0        | Huy: 0        | Lệch: -238     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
  3: I100051 | Cải thảo                       | HT: -180.25  | TT: 0        | Huy: 33.5     | Lệch: -213.75  | Ghi chú: "Điều chỉnh tăng từ Excel"
  4: I100207 | Xà lách lolo xanh              | HT: -159.7   | TT: 4.5      | Huy: 1        | Lệch: -165.2   | Ghi chú: "Điều chỉnh tăng từ Excel"
  5: I100229 | Tỏi lột                        | HT: -156.2   | TT: 0        | Huy: 0        | Lệch: -156.2   | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
  6: I100039 | Cà rốt                         | HT: -134.89  | TT: 2.3      | Huy: 0        | Lệch: -137.19  | Ghi chú: "Điều chỉnh tăng từ Excel"
  7: I100003 | Bắp cải trắng                  | HT: -99.05   | TT: 12.3     | Huy: 5        | Lệch: -116.35  | Ghi chú: "Điều chỉnh tăng từ Excel"
  8: I100128 | Khoai Tây DL lớn               | HT: -27.8    | TT: 79       | Huy: 0        | Lệch: -106.8   | Ghi chú: "Điều chỉnh tăng từ Excel"
  9: I100089 | Dưa leo                        | HT: -95.7    | TT: 0        | Huy: 0        | Lệch: -95.7    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 10: I100098 | Hành lá                        | HT: -85.3    | TT: 0        | Huy: 0        | Lệch: -85.3    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 11: I100067 | Củ cải trắng (Loại 1)          | HT: -80.1    | TT: 0        | Huy: 2.5      | Lệch: -82.6    | Ghi chú: "Điều chỉnh tăng từ Excel"
 12: I100016 | Bí ngòi xanh                   | HT: -68      | TT: 11.5     | Huy: 0        | Lệch: -79.5    | Ghi chú: "Điều chỉnh tăng từ Excel"
 13: I100034 | Cà chua                        | HT: -37.2    | TT: 38       | Huy: 2.5      | Lệch: -77.7    | Ghi chú: "Điều chỉnh tăng từ Excel"
 14: I100209 | Xà lách romain                 | HT: -62      | TT: 8        | Huy: 0        | Lệch: -70      | Ghi chú: "Điều chỉnh tăng từ Excel"
 15: I100094 | Giá tươi                       | HT: -62.4    | TT: 0        | Huy: 0        | Lệch: -62.4    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 16: I100052 | Cải thìa                       | HT: -60.5    | TT: 0        | Huy: 1.5      | Lệch: -62      | Ghi chú: "Điều chỉnh tăng từ Excel"
 17: I100216 | Tắc trái                       | HT: -61.3    | TT: 0        | Huy: 0        | Lệch: -61.3    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 18: I100018 | Bó xôi (Nhà Lồng)              | HT: -46.2    | TT: 0        | Huy: 13.5     | Lệch: -59.7    | Ghi chú: "Điều chỉnh tăng từ Excel"
 19: I100105 | Hành tím Bắc                   | HT: -59.6    | TT: 0        | Huy: 0        | Lệch: -59.6    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 20: I100198 | Sả cây                         | HT: -54.7    | TT: 3        | Huy: 0        | Lệch: -57.7    | Ghi chú: "Điều chỉnh tăng từ Excel"
 21: I100186 | Rau muống lá                   | HT: -49.6    | TT: 2        | Huy: 5        | Lệch: -56.6    | Ghi chú: "Điều chỉnh tăng từ Excel"
